pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
WASP-187 b,WASP-187,b,Transit,2020,5.147878,18.38276,254.264,371.414
Kepler-129 b,Kepler-129,b,Transit,2014,15.79193725,2.21,,408.845
Kepler-625 c,Kepler-625,c,Transit,2016,4.165471,1.22,,760.708
HATS-60 b,HATS-60,b,Transit,2018,3.5608112,10.4972,,486.474
Kepler-1102 b,Kepler-1102,b,Transit,2016,51.3285623,2.66,,1246.05
HATS-10 b,HATS-10,b,Transit,2015,3.312846,10.861521,185.93055,534.889
HATS-8 b,HATS-8,b,Transit,2015,3.583893,9.785457,46.08535,794.637
WASP-67 b,WASP-67,b,Transit,2012,4.61442,15.693,133.483,189.469
WASP-68 b,WASP-68,b,Transit,2014,5.084298,13.9,301.93,226.399
WASP-89 b,WASP-89,b,Transit,2015,3.3564227,11.65736,1875.197,290.946
K2-39 b,K2-39,b,Transit,2016,4.6049829,1.67,,307.47
Kepler-720 b,Kepler-720,b,Transit,2016,4.708326542,8.41,,1065.37
WASP-67 b,WASP-67,b,Transit,2012,4.61,12.229,129.034,189.469
WASP-70 A b,WASP-70 A,b,Transit,2014,3.7130203,13.047,187.512,222.355
HATS-9 b,HATS-9,b,Transit,2015,1.9153073,11.937585,266.02371,638.7
HATS-10 b,HATS-10,b,Transit,2015,3.312846,10.861521,167.17858,534.889
HATS-8 b,HATS-8,b,Transit,2015,3.583893,9.785457,43.86054,794.637
Kepler-1517 b,Kepler-1517,b,Transit,2016,5.546083665,9.76,,847.299
K2-39 b,K2-39,b,Transit,2016,4.60543,8.2,50.3,307.47
HATS-15 b,HATS-15,b,Transit,2016,1.74748753,12.385945,689.6911,1139.55
K2-39 b,K2-39,b,Transit,2016,4.60497,7.09,,307.47
K2-39 b,K2-39,b,Transit,2016,4.60497,5.71,39.8,307.47
HATS-9 b,HATS-9,b,Transit,2015,1.915298,17.2,,638.7
HATS-11 b,HATS-11,b,Transit,2016,3.619192,10.2,,944.603
HATS-12 b,HATS-12,b,Transit,2016,3.14272,7.8,,746.138
HATS-36 b,HATS-36,b,Transit,2018,4.175187,13.4,,856.436
HATS-50 b,HATS-50,b,Transit,2017,3.8297015,12.66617,123.9537,756.742
HATS-36 b,HATS-36,b,Transit,2018,4.1752387,13.843115,1022.14128,856.436
HATS-9 b,HATS-9,b,Transit,2015,1.915311,13.1414316,259.34928,638.7
HATS-11 b,HATS-11,b,Transit,2016,3.6191634,16.667783,263.7989,944.603
HATS-12 b,HATS-12,b,Transit,2016,3.1428347,15.513256,759.6137,746.138
HATS-12 b,HATS-12,b,Transit,2016,3.142846,8.84505104,,746.138
HATS-11 b,HATS-11,b,Transit,2016,3.6191613,16.92559,270.1555,944.603
